fecha,indicador,bloque,unidad,valor
2018-10-18,Dólar CCL,monetario_financiero,$/USD (venta),36.31
2018-10-19,Dólar CCL,monetario_financiero,$/USD (venta),36.83
2018-10-20,Dólar CCL,monetario_financiero,$/USD (venta),36.83
2018-10-21,Dólar CCL,monetario_financiero,$/USD (venta),36.83
2018-10-22,Dólar CCL,monetario_financiero,$/USD (venta),36.62
2018-10-23,Dólar CCL,monetario_financiero,$/USD (venta),36.68
2018-10-24,Dólar CCL,monetario_financiero,$/USD (venta),36.9
2018-10-25,Dólar CCL,monetario_financiero,$/USD (venta),37.35
2018-10-26,Dólar CCL,monetario_financiero,$/USD (venta),36.91
2018-10-27,Dólar CCL,monetario_financiero,$/USD (venta),36.91
2018-10-28,Dólar CCL,monetario_financiero,$/USD (venta),36.91
2018-10-29,Dólar CCL,monetario_financiero,$/USD (venta),36.81
2018-10-30,Dólar CCL,monetario_financiero,$/USD (venta),37.08
2018-10-31,Dólar CCL,monetario_financiero,$/USD (venta),36.68
2018-11-01,Dólar CCL,monetario_financiero,$/USD (venta),35.85
2018-11-02,Dólar CCL,monetario_financiero,$/USD (venta),35.94
2018-11-03,Dólar CCL,monetario_financiero,$/USD (venta),35.94
2018-11-04,Dólar CCL,monetario_financiero,$/USD (venta),35.94
2018-11-05,Dólar CCL,monetario_financiero,$/USD (venta),35.57
2018-11-06,Dólar CCL,monetario_financiero,$/USD (venta),35.57
2018-11-07,Dólar CCL,monetario_financiero,$/USD (venta),35.72
2018-11-08,Dólar CCL,monetario_financiero,$/USD (venta),35.75
2018-11-09,Dólar CCL,monetario_financiero,$/USD (venta),35.71
2018-11-10,Dólar CCL,monetario_financiero,$/USD (venta),35.71
2018-11-11,Dólar CCL,monetario_financiero,$/USD (venta),35.71
2018-11-12,Dólar CCL,monetario_financiero,$/USD (venta),35.6
2018-11-13,Dólar CCL,monetario_financiero,$/USD (venta),35.44
2018-11-14,Dólar CCL,monetario_financiero,$/USD (venta),35.44
2018-11-15,Dólar CCL,monetario_financiero,$/USD (venta),36.08
2018-11-16,Dólar CCL,monetario_financiero,$/USD (venta),36.08
2018-11-17,Dólar CCL,monetario_financiero,$/USD (venta),36.08
2018-11-18,Dólar CCL,monetario_financiero,$/USD (venta),36.08
2018-11-19,Dólar CCL,monetario_financiero,$/USD (venta),36.08
2018-11-20,Dólar CCL,monetario_financiero,$/USD (venta),36.01
2018-11-21,Dólar CCL,monetario_financiero,$/USD (venta),36.23
2018-11-22,Dólar CCL,monetario_financiero,$/USD (venta),36.23
2018-11-23,Dólar CCL,monetario_financiero,$/USD (venta),36.23
2018-11-24,Dólar CCL,monetario_financiero,$/USD (venta),36.23
2018-11-25,Dólar CCL,monetario_financiero,$/USD (venta),36.23
2018-11-26,Dólar CCL,monetario_financiero,$/USD (venta),37.81
2018-11-27,Dólar CCL,monetario_financiero,$/USD (venta),38.72
2018-11-28,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-11-29,Dólar CCL,monetario_financiero,$/USD (venta),38.58
2018-11-30,Dólar CCL,monetario_financiero,$/USD (venta),38.58
2018-12-01,Dólar CCL,monetario_financiero,$/USD (venta),38.58
2018-12-02,Dólar CCL,monetario_financiero,$/USD (venta),38.58
2018-12-03,Dólar CCL,monetario_financiero,$/USD (venta),37.69
2018-12-04,Dólar CCL,monetario_financiero,$/USD (venta),36.61
2018-12-05,Dólar CCL,monetario_financiero,$/USD (venta),36.61
2018-12-06,Dólar CCL,monetario_financiero,$/USD (venta),37.4
2018-12-07,Dólar CCL,monetario_financiero,$/USD (venta),38.03
2018-12-08,Dólar CCL,monetario_financiero,$/USD (venta),38.03
2018-12-09,Dólar CCL,monetario_financiero,$/USD (venta),38.03
2018-12-10,Dólar CCL,monetario_financiero,$/USD (venta),37.64
2018-12-11,Dólar CCL,monetario_financiero,$/USD (venta),37.65
2018-12-12,Dólar CCL,monetario_financiero,$/USD (venta),37.65
2018-12-13,Dólar CCL,monetario_financiero,$/USD (venta),37.59
2018-12-14,Dólar CCL,monetario_financiero,$/USD (venta),37.84
2018-12-15,Dólar CCL,monetario_financiero,$/USD (venta),37.84
2018-12-16,Dólar CCL,monetario_financiero,$/USD (venta),37.84
2018-12-17,Dólar CCL,monetario_financiero,$/USD (venta),38.57
2018-12-18,Dólar CCL,monetario_financiero,$/USD (venta),38.57
2018-12-19,Dólar CCL,monetario_financiero,$/USD (venta),38.49
2018-12-20,Dólar CCL,monetario_financiero,$/USD (venta),38.61
2018-12-21,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-12-22,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-12-23,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-12-24,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-12-25,Dólar CCL,monetario_financiero,$/USD (venta),38.59
2018-12-26,Dólar CCL,monetario_financiero,$/USD (venta),38.1
2018-12-27,Dólar CCL,monetario_financiero,$/USD (venta),38.46
2018-12-28,Dólar CCL,monetario_financiero,$/USD (venta),38.54
2018-12-29,Dólar CCL,monetario_financiero,$/USD (venta),38.54
2018-12-30,Dólar CCL,monetario_financiero,$/USD (venta),38.54
2018-12-31,Dólar CCL,monetario_financiero,$/USD (venta),38.54
2019-01-01,Dólar CCL,monetario_financiero,$/USD (venta),38.54
2019-01-02,Dólar CCL,monetario_financiero,$/USD (venta),37.81
2019-01-03,Dólar CCL,monetario_financiero,$/USD (venta),37.81
2019-01-04,Dólar CCL,monetario_financiero,$/USD (venta),37.61
2019-01-05,Dólar CCL,monetario_financiero,$/USD (venta),37.61
2019-01-06,Dólar CCL,monetario_financiero,$/USD (venta),37.61
2019-01-07,Dólar CCL,monetario_financiero,$/USD (venta),37.47
2019-01-08,Dólar CCL,monetario_financiero,$/USD (venta),37.5
2019-01-09,Dólar CCL,monetario_financiero,$/USD (venta),37.51
2019-01-10,Dólar CCL,monetario_financiero,$/USD (venta),37.46
2019-01-11,Dólar CCL,monetario_financiero,$/USD (venta),37.24
2019-01-12,Dólar CCL,monetario_financiero,$/USD (venta),37.24
2019-01-13,Dólar CCL,monetario_financiero,$/USD (venta),37.24
2019-01-14,Dólar CCL,monetario_financiero,$/USD (venta),37.09
2019-01-15,Dólar CCL,monetario_financiero,$/USD (venta),36.89
2019-01-16,Dólar CCL,monetario_financiero,$/USD (venta),37.09
2019-01-17,Dólar CCL,monetario_financiero,$/USD (venta),37.62
2019-01-18,Dólar CCL,monetario_financiero,$/USD (venta),37.9
2019-01-19,Dólar CCL,monetario_financiero,$/USD (venta),37.9
2019-01-20,Dólar CCL,monetario_financiero,$/USD (venta),37.9
2019-01-21,Dólar CCL,monetario_financiero,$/USD (venta),37.9
2019-01-22,Dólar CCL,monetario_financiero,$/USD (venta),37.78
2019-01-23,Dólar CCL,monetario_financiero,$/USD (venta),37.63
2019-01-24,Dólar CCL,monetario_financiero,$/USD (venta),37.63
2019-01-25,Dólar CCL,monetario_financiero,$/USD (venta),37.48
2019-01-26,Dólar CCL,monetario_financiero,$/USD (venta),37.48
2019-01-27,Dólar CCL,monetario_financiero,$/USD (venta),37.48
2019-01-28,Dólar CCL,monetario_financiero,$/USD (venta),37.01
2019-01-29,Dólar CCL,monetario_financiero,$/USD (venta),37.08
2019-01-30,Dólar CCL,monetario_financiero,$/USD (venta),37.5
2019-01-31,Dólar CCL,monetario_financiero,$/USD (venta),37.41
2019-02-01,Dólar CCL,monetario_financiero,$/USD (venta),37.45
