fecha,serie,valor
2015-09-01,Tarjetas de crédito,1.6230028520520297
2015-10-01,Tarjetas de crédito,1.5951656711422193
2015-11-01,Tarjetas de crédito,1.5776372657970261
2015-12-01,Tarjetas de crédito,1.5135755129916555
2016-01-01,Tarjetas de crédito,1.6501596420028548
2016-02-01,Tarjetas de crédito,1.724661561798782
2016-03-01,Tarjetas de crédito,1.7009789755214166
2016-04-01,Tarjetas de crédito,1.81338113187294
2016-05-01,Tarjetas de crédito,1.8120268680668454
2016-06-01,Tarjetas de crédito,1.9030854234005352
2016-07-01,Tarjetas de crédito,1.916782304747501
2016-08-01,Tarjetas de crédito,1.9086102155558207
2016-09-01,Tarjetas de crédito,1.8713481202009636
2016-10-01,Tarjetas de crédito,1.9040284415015536
2016-11-01,Tarjetas de crédito,1.850459449272145
2016-12-01,Tarjetas de crédito,1.875329059393227
2017-01-01,Tarjetas de crédito,1.9463945199501742
2017-02-01,Tarjetas de crédito,2.0625360375443202
2017-03-01,Tarjetas de crédito,2.0912918627441117
2017-04-01,Tarjetas de crédito,2.274708506501887
2017-05-01,Tarjetas de crédito,2.2978720495815854
2017-06-01,Tarjetas de crédito,2.479416761328261
2017-07-01,Tarjetas de crédito,2.3754461294609603
2017-08-01,Tarjetas de crédito,2.3252119898522103
2017-09-01,Tarjetas de crédito,2.3369030282041514
2017-10-01,Tarjetas de crédito,2.364360574169015
2017-11-01,Tarjetas de crédito,2.404507243663776
2017-12-01,Tarjetas de crédito,2.4624586469844023
2018-01-01,Tarjetas de crédito,2.5240651033114054
2018-02-01,Tarjetas de crédito,2.604422083293075
2018-03-01,Tarjetas de crédito,2.7458999120286984
2018-04-01,Tarjetas de crédito,2.8820080280603952
2018-05-01,Tarjetas de crédito,3.079115475027714
2018-06-01,Tarjetas de crédito,3.064818837100462
2018-07-01,Tarjetas de crédito,3.169048889106284
2018-08-01,Tarjetas de crédito,3.1689779132456963
2018-09-01,Tarjetas de crédito,3.321249723508895
2018-10-01,Tarjetas de crédito,3.4067342056765115
2018-11-01,Tarjetas de crédito,3.5774620184487222
2018-12-01,Tarjetas de crédito,3.687019980092869
2019-01-01,Tarjetas de crédito,3.8520613055622204
2019-02-01,Tarjetas de crédito,4.27920750790817
2019-03-01,Tarjetas de crédito,4.231754634211026
2019-04-01,Tarjetas de crédito,4.437413380450296
2019-05-01,Tarjetas de crédito,4.688761116776114
2019-06-01,Tarjetas de crédito,4.666495251679461
2019-07-01,Tarjetas de crédito,4.472010614497712
2019-08-01,Tarjetas de crédito,4.345990226289159
2019-09-01,Tarjetas de crédito,3.9739912663322117
2019-10-01,Tarjetas de crédito,3.6560491899735377
2019-11-01,Tarjetas de crédito,3.640715207787796
2019-12-01,Tarjetas de crédito,3.255615640370159
2020-01-01,Tarjetas de crédito,3.2936710185939813
2020-02-01,Tarjetas de crédito,3.4645012425081294
2020-03-01,Tarjetas de crédito,2.2056356697584976
2020-04-01,Tarjetas de crédito,2.255637422031305
2020-05-01,Tarjetas de crédito,2.120233229150875
2020-06-01,Tarjetas de crédito,1.9586589252050997
2020-07-01,Tarjetas de crédito,1.8895788478685842
2020-08-01,Tarjetas de crédito,1.7933553007111012
2020-09-01,Tarjetas de crédito,1.665336978220425
2020-10-01,Tarjetas de crédito,1.5503622837225581
2020-11-01,Tarjetas de crédito,1.4304336215369697
2020-12-01,Tarjetas de crédito,1.212052739319352
2021-01-01,Tarjetas de crédito,1.2529740814117394
2021-02-01,Tarjetas de crédito,1.2952559685595024
2021-03-01,Tarjetas de crédito,1.9578173328322734
2021-04-01,Tarjetas de crédito,2.761768560722256
2021-05-01,Tarjetas de crédito,3.4310224378014085
2021-06-01,Tarjetas de crédito,4.8038347981499046
2021-07-01,Tarjetas de crédito,4.940478872734136
2021-08-01,Tarjetas de crédito,4.7637889217731075
2021-09-01,Tarjetas de crédito,4.048270904983574
2021-10-01,Tarjetas de crédito,3.811875832466475
2021-11-01,Tarjetas de crédito,3.286054268564092
2021-12-01,Tarjetas de crédito,3.0272893294613006
2022-01-01,Tarjetas de crédito,2.8579329402990936
2022-02-01,Tarjetas de crédito,2.7011645366071586
2022-03-01,Tarjetas de crédito,2.5809353231067327
2022-04-01,Tarjetas de crédito,2.434547857349336
